filepath,sample_id,system_id,mos,dataset,ref_dnsmos_ovrl,ref_nisqa_mos,ref_utmos,mos_pred
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000001.flac,urgent25_blind_test_fileid_000001,urgent25_blind_test_submission_716,1.5,urgent2025_sqa_pilot,1.0315639972686768,1.3766323328018188,1.2716736793518066,0.6905548572540283
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000002.flac,urgent25_blind_test_fileid_000002,urgent25_blind_test_submission_716,2.125,urgent2025_sqa_pilot,2.117513656616211,1.0207411050796509,1.9241293668746948,0.9611510038375854
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000003.flac,urgent25_blind_test_fileid_000003,urgent25_blind_test_submission_716,3.75,urgent2025_sqa_pilot,2.404438734054565,3.662420511245728,3.309983491897583,1.3430973291397095
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000004.flac,urgent25_blind_test_fileid_000004,urgent25_blind_test_submission_716,1.625,urgent2025_sqa_pilot,1.6340603828430176,1.0627015829086304,1.3059967756271362,1.3549665212631226
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000005.flac,urgent25_blind_test_fileid_000005,urgent25_blind_test_submission_716,3.625,urgent2025_sqa_pilot,2.7955691814422607,3.586808204650879,4.00313138961792,2.4620659351348877
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000006.flac,urgent25_blind_test_fileid_000006,urgent25_blind_test_submission_716,2.625,urgent2025_sqa_pilot,1.8531736135482788,1.2004244327545166,1.2697219848632812,0.8122614026069641
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000007.flac,urgent25_blind_test_fileid_000007,urgent25_blind_test_submission_716,1.125,urgent2025_sqa_pilot,1.0755014419555664,0.9601148962974548,1.3720643520355225,1.028579592704773
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000008.flac,urgent25_blind_test_fileid_000008,urgent25_blind_test_submission_716,2.25,urgent2025_sqa_pilot,1.9345557689666748,1.2038439512252808,1.2882890701293943,0.8117507696151733
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000009.flac,urgent25_blind_test_fileid_000009,urgent25_blind_test_submission_716,2.375,urgent2025_sqa_pilot,1.8161561489105225,3.084492444992065,1.2539548873901367,3.348771810531616
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000010.flac,urgent25_blind_test_fileid_000010,urgent25_blind_test_submission_716,1.5,urgent2025_sqa_pilot,1.670645236968994,2.204390048980713,1.2753193378448486,1.4525866508483887
